"";"expCoeff";"penteInfCoeff";"distrouteCoeff";"ratioliste";"voisUrbCoef";"routesCoef";"route_vois";"popHaIrrig";"popHaUrb";"rmsle";"rmse"
"176";"0.0";"3.0";"0.0";"0.2";"6.0";"3.0";"true";"15.0";"65.0";2,68;29,07
"177";"0.0";"3.0";"0.0";"0.2";"6.0";"3.0";"true";"15.0";"70.0";2,68;29,07
"178";"0.0";"3.0";"0.0";"0.2";"6.0";"3.0";"true";"9.0";"60.0";2,68;29,07
"179";"0.0";"3.0";"0.0";"0.2";"6.0";"3.0";"true";"9.0";"65.0";2,68;29,07
"180";"0.0";"3.0";"0.0";"0.2";"6.0";"3.0";"true";"9.0";"70.0";2,68;29,07
"181";"0.0";"3.0";"0.0";"0.2";"6.0";"6.0";"false";"12.0";"60.0";2,68;29,01
"182";"0.0";"3.0";"0.0";"0.2";"6.0";"6.0";"false";"12.0";"65.0";2,68;29,01
"183";"0.0";"3.0";"0.0";"0.2";"6.0";"6.0";"false";"12.0";"70.0";2,68;29,01
"184";"0.0";"3.0";"0.0";"0.2";"6.0";"6.0";"false";"15.0";"60.0";2,68;29,01
"185";"0.0";"3.0";"0.0";"0.2";"6.0";"6.0";"false";"15.0";"65.0";2,68;29,02
"186";"0.0";"3.0";"0.0";"0.2";"6.0";"6.0";"false";"15.0";"70.0";2,68;29,01
"187";"0.0";"3.0";"0.0";"0.2";"6.0";"6.0";"false";"9.0";"60.0";2,68;29,01
"188";"0.0";"3.0";"0.0";"0.2";"6.0";"6.0";"false";"9.0";"65.0";2,68;29,01
"189";"0.0";"3.0";"0.0";"0.2";"6.0";"6.0";"false";"9.0";"70.0";2,68;29,02
"190";"0.0";"3.0";"0.0";"0.2";"6.0";"6.0";"true";"12.0";"60.0";2,68;29,02
"191";"0.0";"3.0";"0.0";"0.2";"6.0";"6.0";"true";"12.0";"65.0";2,68;29,03
"192";"0.0";"3.0";"0.0";"0.2";"6.0";"6.0";"true";"12.0";"70.0";2,68;29,02
"193";"0.0";"3.0";"0.0";"0.2";"6.0";"6.0";"true";"15.0";"60.0";2,68;29,02
"194";"0.0";"3.0";"0.0";"0.2";"6.0";"6.0";"true";"15.0";"65.0";2,68;29,02
"195";"0.0";"3.0";"0.0";"0.2";"6.0";"6.0";"true";"15.0";"70.0";2,68;29,02
"196";"0.0";"3.0";"0.0";"0.2";"6.0";"6.0";"true";"9.0";"60.0";2,68;29,03
"197";"0.0";"3.0";"0.0";"0.2";"6.0";"6.0";"true";"9.0";"65.0";2,68;29,02
